5,3,3,3,3,3,1,2,5,2
5,3,3,3,3,3,1,2,5,60
5,3,3,3,3,3,1,2,5,97
7,4,2,1,1,1,2,2,8,6
7,4,2,1,1,1,2,2,8,7
7,4,3,3,3,3,2,2,8,6
7,4,3,3,3,3,2,2,8,83
7,4,5,3,5,3,2,2,8,78
8,4,4,3,4,3,2,3,10,155
9,5,2,1,1,1,2,3,12,140
9,5,4,3,4,3,2,3,12,2
9,5,4,3,4,3,2,3,12,5
9,5,5,7,5,7,2,3,12,7
9,5,6,7,6,7,2,3,12,91
11,6,2,1,1,1,2,3,16,105
11,6,2,1,1,1,2,3,16,54
13,6,2,1,1,1,2,4,21,86
13,6,3,3,3,3,4,4,24,124
13,7,2,1,1,1,2,3,20,123
13,7,3,3,3,3,2,3,20,5
13,7,3,3,3,3,2,4,21,132
13,7,6,6,6,6,2,4,21,95
15,7,2,1,2,1,4,5,34,1
15,8,2,1,1,1,2,4,25,136
15,8,2,1,1,1,2,4,26,166
15,8,2,1,1,1,3,3,24,135
15,8,3,3,3,3,3,3,24,321
15,8,4,3,4,3,2,4,26,5
15,8,4,3,4,3,3,3,24,4
15,8,5,7,5,7,2,4,25,5
16,8,2,1,1,1,3,4,28,139
16,8,2,1,1,1,3,4,28,90
16,9,2,1,1,1,3,4,29,10
17,9,2,1,1,1,3,4,31,117
17,9,2,1,1,1,3,4,33,17
18,9,11,14,11,14,2,5,33,16
18,9,2,1,1,1,3,5,32,141
18,9,3,3,3,3,3,4,31,8
19,10,2,1,1,1,2,4,35,439
19,9,2,1,1,1,3,5,33,13
19,9,4,3,3,3,4,5,40,74
19,9,9,7,5,3,3,6,36,405
20,10,2,1,1,1,3,5,36,6
20,10,2,1,1,1,3,5,37,2
20,10,3,3,3,3,3,5,38,26
21,10,2,1,1,1,3,6,41,5
21,10,2,1,1,1,4,5,44,134
22,11,15,23,13,21,3,6,47,711
23,10,5,3,4,3,4,7,62,154
23,12,12,7,12,7,2,6,52,5
23,12,3,3,3,3,2,5,46,303
23,12,6,3,6,3,3,5,45,51
25,12,10,15,10,15,3,6,48,163
25,13,2,1,1,1,3,5,50,160
25,13,4,6,4,6,2,5,52,30
26,12,6,10,5,7,3,6,50,16
26,13,6,6,6,6,3,5,52,202
27,13,10,13,10,13,3,6,57,424
27,13,5,6,5,6,4,5,56,263
27,14,2,1,1,1,3,5,55,3
28,13,8,7,3,3,4,7,72,58
28,14,2,1,1,1,3,5,57,10
29,13,2,1,1,1,3,7,61,23
29,15,2,1,1,1,3,6,64,154
30,15,6,8,6,8,4,5,70,360
31,14,18,31,10,11,4,6,67,915
31,15,2,1,1,1,3,5,65,310
31,15,2,1,1,1,3,7,75,70
31,15,2,1,1,1,4,6,80,204
32,15,7,7,7,7,3,6,70,22
32,16,14,17,14,17,3,5,68,56
32,16,2,1,1,1,3,6,72,6
33,16,2,1,2,1,4,7,86,176
34,17,2,1,1,1,3,5,73,173
34,17,6,6,4,3,3,7,95,21
34,17,8,10,8,10,3,6,76,468
34,17,9,6,9,6,3,6,76,31
35,17,3,3,3,3,3,8,88,277
35,17,46,47,29,15,3,6,81,2217
35,18,2,1,1,1,3,6,86,72
35,18,6,6,6,6,4,5,76,39
36,18,2,1,1,1,3,6,81,197
36,18,2,1,1,1,4,5,80,311
36,18,9,12,9,12,3,6,81,34
37,18,2,1,1,1,3,6,85,282
37,18,2,1,1,1,3,6,91,483
37,19,2,1,1,1,3,5,83,13
37,19,2,1,1,1,3,5,85,244
38,19,2,1,1,1,3,5,86,4
38,19,23,15,20,10,4,6,93,204
38,20,3,3,3,3,3,6,95,386
38,20,4,3,4,3,3,7,100,24
39,19,2,1,1,1,3,6,89,425
39,19,2,1,1,1,4,7,106,40
40,19,2,1,1,1,3,7,93,136
40,19,2,1,1,1,3,9,115,4
41,20,5,6,4,3,3,7,108,96
41,21,2,1,1,1,2,7,115,234
41,21,2,1,1,1,4,6,106,28
42,20,2,1,1,1,2,8,109,87
42,20,9,12,9,12,3,7,98,107
42,21,3,3,1,1,3,7,100,50
42,21,6,8,6,8,4,7,114,1858
43,21,7,7,6,7,3,10,139,284
43,22,15,18,15,18,3,8,114,648
43,22,4,3,4,3,3,7,120,241
43,22,8,10,8,10,4,5,100,43
44,21,3,3,2,1,4,7,110,80
44,22,8,8,7,7,4,6,112,335
44,23,2,1,1,1,3,7,111,3
