131,64,2,1,1,1,4,12,495,1504
135,64,4,4,2,1,3,13,548,2160
135,64,4,6,4,6,5,10,466,3302
136,65,24,30,14,16,3,10,471,2409
137,66,28,30,19,21,5,13,489,3350
138,65,11,10,10,6,5,14,575,1994
139,65,2,1,2,1,5,13,566,1979
139,65,87,124,53,83,5,13,553,61883
141,65,5,5,2,1,5,14,610,5098
142,67,13,11,12,10,3,12,545,2237
142,67,2,1,1,1,4,9,479,607
142,70,2,1,1,1,3,15,596,1634
143,64,2,1,1,1,4,11,488,232
143,65,3,3,2,1,5,14,519,4609
143,67,29,27,27,31,5,10,496,33333
143,68,40,86,24,57,4,11,531,9692
143,69,2,1,1,1,4,12,508,152
144,69,14,21,12,16,5,12,524,2379
146,67,4,3,4,3,3,14,540,781
147,70,2,1,1,1,5,11,513,1406
147,70,4,3,3,3,3,14,567,3323
147,71,2,1,1,1,4,14,548,1556
148,69,5,7,5,7,5,12,596,3309
148,73,7,3,7,3,5,12,521,1534
149,69,13,12,7,6,5,13,564,3578
151,68,2,1,1,1,5,12,534,710
151,69,5,5,3,3,5,14,563,2720
151,72,2,1,1,1,5,12,560,949
152,71,4,4,3,3,4,11,536,1577
153,71,2,1,1,1,5,11,570,881
156,73,47,54,47,54,6,12,613,13690
157,70,19,32,16,27,5,12,572,7719
157,72,73,102,73,102,4,13,610,201715
157,73,2,1,1,1,4,12,589,1573
157,74,3,1,3,1,3,12,583,1236
158,77,11,15,8,8,5,11,599,3132
160,73,8,10,8,10,5,11,644,13166
160,76,12,12,9,12,4,12,632,1855
161,72,31,46,12,14,5,15,597,3268
161,78,2,1,1,1,4,10,594,1062
162,77,29,38,13,19,3,12,663,4131
163,75,2,1,1,1,5,11,587,2353
163,82,2,1,1,1,4,10,596,147
164,75,2,1,1,1,5,12,585,805
165,74,2,1,1,1,5,14,670,2771
165,83,2,1,1,1,4,10,616,642
165,83,3,3,3,3,4,12,629,3773
166,79,2,1,1,1,4,11,607,1545
167,81,5,7,5,7,4,13,725,2798
168,82,65,81,51,71,6,12,664,3496
169,78,2,1,1,1,3,14,723,1818
170,82,2,1,1,1,4,10,636,1069
171,80,2,1,1,1,5,13,608,3892
173,82,160,61,117,56,4,11,687,41767
173,83,2,1,1,1,5,11,645,1569
173,86,4,4,3,3,5,14,707,3214
174,82,4,6,4,6,7,13,774,3489
176,84,3,3,3,3,6,13,704,25133
176,85,33,21,31,15,4,13,721,5338
179,84,2,1,1,1,4,12,668,746
179,87,2,1,2,1,5,14,844,2203
180,84,3,3,3,3,5,11,643,3408
180,90,2,1,1,1,5,12,739,1682
182,81,12,6,6,3,4,12,679,2158
182,86,137,220,70,78,4,14,740,3670
183,86,7,7,2,1,4,11,767,3620
183,90,2,1,1,1,4,11,701,3737
184,85,9,10,9,10,6,16,919,11475
184,86,2,1,1,1,6,13,743,1544
185,87,9,12,9,12,5,11,670,1373
186,85,2,1,1,1,6,11,726,1036
186,86,60,129,57,126,5,11,715,15697
186,87,64,97,63,96,6,11,720,32627
186,91,2,1,1,1,6,16,892,790
187,90,2,1,1,1,4,14,764,959
188,94,2,1,1,1,6,12,799,1525
190,87,2,1,1,1,5,13,700,1667
190,89,2,1,1,1,5,13,782,807
190,93,2,1,1,1,6,12,787,1294
191,88,2,1,1,1,5,11,659,1669
191,92,4,3,2,1,5,14,764,5557
191,92,5,3,5,3,4,15,868,3519
191,95,17,35,15,35,4,11,827,1414
192,86,15,21,7,9,6,15,877,6658
192,87,2,1,1,1,5,11,698,1331
192,91,2,1,1,1,4,12,737,1847
195,90,8,11,7,10,4,14,815,3019
196,90,2,1,1,1,4,13,727,1647
196,93,2,1,1,1,5,12,788,1842
198,96,2,1,1,1,5,11,696,1008
200,90,3,3,3,3,5,15,914,5044
200,99,2,1,1,1,3,14,914,743
201,95,2,1,1,1,5,16,935,1764
202,101,2,1,1,1,5,13,847,2478
202,90,2,1,1,1,4,14,806,913
202,96,2,1,1,1,5,13,812,1892
203,89,2,1,1,1,5,20,1040,137
203,94,2,1,2,1,5,16,804,1041
203,96,2,1,1,1,4,16,1131,1074
205,102,2,1,1,1,4,11,839,974
205,94,2,1,1,1,4,13,782,2022
205,96,111,207,111,207,6,12,869,164396
205,98,2,1,1,1,5,10,778,1842
205,99,8,6,7,3,6,13,931,3119
206,97,2,1,1,1,4,14,842,958
206,97,2,1,1,1,6,12,856,1706
206,97,245,196,245,196,6,14,928,494330
207,101,2,1,1,1,5,12,790,1175
207,97,3,3,3,3,5,13,885,6141
208,97,4,3,3,3,4,14,796,1933
208,98,9,7,9,7,3,16,859,1521
209,100,2,1,2,1,5,15,1058,3481
210,100,11,11,2,1,4,11,796,9217
210,102,3,3,3,3,3,13,955,2183
210,102,35,27,27,20,6,13,949,25799
210,96,3,1,3,1,5,13,827,637
211,101,2,1,1,1,5,12,842,3076
211,104,3,3,3,3,4,12,868,2695
213,102,2,1,1,1,5,13,959,3113
213,103,2,1,1,1,6,12,830,832
214,106,2,1,1,1,6,12,872,1220
214,97,2,1,1,1,4,14,916,390
214,98,2,1,1,1,5,13,842,1629
215,101,2,1,1,1,6,12,912,1781
215,102,2,1,1,1,5,11,833,691
216,101,3,3,2,1,5,14,944,5520
217,100,2,1,1,1,4,14,911,1008
217,106,11,18,8,7,4,12,870,1419
219,100,16,21,12,18,5,13,878,2691
219,102,-1,-1,-1,-1,6,14,992,784000
219,103,17,18,15,14,5,14,841,2343
219,103,2,1,1,1,6,12,898,1155
220,100,7,9,3,3,6,15,971,3785
221,105,22,26,20,25,5,12,912,4330
222,104,33,42,17,11,5,14,904,4156
222,105,2,1,1,1,4,13,925,1102
222,105,2,1,1,1,6,16,1129,4235
223,107,30,33,26,24,4,20,1079,5481
223,108,-1,-1,-1,-1,7,13,1061,676000
224,100,2,1,2,1,4,13,945,7905
224,105,36,50,31,58,5,13,996,4298
224,106,52,65,21,16,6,14,1079,7785
225,107,2,1,1,1,6,15,980,2594
225,110,6,7,6,7,5,12,898,2611
