126,64,3,3,3,3,3,15,565,872
132,66,2,1,1,1,3,11,481,1211
134,65,22,24,12,10,3,16,644,1193
135,64,15,18,11,15,2,13,543,1426
135,67,2,1,1,1,3,12,496,991
137,64,3,1,3,1,3,13,526,630
138,64,41,39,17,28,3,15,694,3292
138,66,3,3,3,3,2,13,554,3367
138,70,19,21,3,3,4,12,576,675
139,65,2,1,1,1,3,12,493,906
139,66,5,5,5,5,3,14,586,2051
140,70,4,6,4,6,3,15,582,4042
141,66,2,1,1,1,3,11,520,467
142,69,2,1,1,1,2,13,544,1307
143,67,12,13,6,9,3,22,782,1116
143,68,2,1,2,1,4,13,546,122
144,72,3,3,3,3,3,15,564,1837
145,67,7,3,7,3,3,17,588,2894
146,69,19,20,13,14,3,15,583,2535
146,69,2,1,1,1,4,14,592,1887
146,70,2,1,1,1,3,15,565,1844
146,70,3,3,3,3,1,14,636,788
147,64,6,13,4,4,4,13,553,1594
147,70,2,1,1,1,3,14,567,795
148,70,3,3,3,3,2,18,713,674
149,71,2,1,1,1,3,12,602,895
149,72,2,1,1,1,3,14,629,1017
150,68,2,1,1,1,1,19,814,554
151,67,635,581,568,639,3,15,569,793243
151,71,2,1,1,1,2,17,728,1200
151,72,2,1,1,1,3,13,554,439
151,73,2,1,1,1,3,14,644,1474
152,69,4,3,4,3,4,12,556,1811
152,73,2,1,1,1,4,12,567,581
154,69,2,1,1,1,4,13,634,983
154,72,10,20,10,20,4,14,616,1206
154,73,2,1,1,1,3,14,690,494
154,73,2,1,1,1,3,14,712,704
154,75,2,1,1,1,3,12,556,707
155,74,8,6,2,1,4,12,594,3073
155,76,2,1,1,1,4,12,607,867
155,76,3,3,3,3,2,15,708,1076
156,73,2,1,1,1,2,15,696,1270
157,72,2,1,1,1,4,15,676,641
157,75,2,1,1,1,4,12,592,1290
158,76,22,29,22,29,3,14,637,1558
158,79,2,1,1,1,3,12,630,347
159,74,6,4,3,3,4,13,596,1633
160,77,2,1,1,1,3,16,669,577
161,75,4,3,4,3,3,15,716,415
161,77,2,1,1,1,3,11,578,1958
162,77,2,1,1,1,2,16,732,267
162,78,2,1,1,1,4,12,646,381
162,80,14,18,14,18,2,14,688,1048
164,76,17,25,16,24,3,15,670,1323
164,78,3,3,3,3,3,17,732,2366
164,78,4,4,3,3,5,15,705,2366
166,79,2,1,2,1,2,16,768,342
169,80,7,3,7,3,2,13,718,924
169,82,204,246,91,111,3,16,760,8184
170,81,2,1,1,1,3,15,805,180
170,82,2,1,1,1,3,16,739,289
170,82,82,95,32,32,3,18,705,5403
170,84,2,1,1,1,3,12,699,295
171,81,16,25,14,23,3,13,634,2434
171,83,167,208,101,122,3,12,707,5229
171,83,2,1,1,1,4,12,663,559
171,85,10,10,9,6,3,15,697,539
172,74,2,1,1,1,5,15,776,561
172,79,2,1,1,1,3,18,732,1327
173,79,2,1,1,1,3,16,795,195
173,82,10,13,9,10,3,14,694,1793
174,80,2,1,1,1,4,14,672,494
174,82,2,1,1,1,4,16,692,909
174,86,4,4,2,1,2,13,749,1849
174,86,77,45,66,45,4,12,642,2062
175,81,-1,-1,-1,-1,4,19,1024,1444000
175,82,2,1,1,1,3,17,731,579
175,85,6,7,6,7,4,13,702,3055
177,86,2,1,1,1,4,12,707,1334
178,89,2,1,1,1,3,15,775,556
180,88,4,3,4,3,2,22,942,249
181,84,15,18,13,11,4,13,709,5167
181,87,2,1,1,1,4,14,797,874
182,83,14,20,11,13,3,18,892,1474
183,87,17,18,12,12,4,15,751,3776
184,86,2,1,1,1,4,15,742,375
184,87,4,3,4,3,2,19,840,1323
184,88,2,1,1,1,4,17,792,137
186,89,126,192,109,205,2,15,825,4740
187,88,148,276,125,231,2,17,804,21686
188,88,2,1,1,1,3,14,713,593
188,89,2,1,2,1,3,17,997,923
188,90,9,15,4,5,4,13,751,2292
188,93,2,1,1,1,2,16,853,502
188,94,2,1,1,1,2,17,882,485
189,90,2,1,1,1,4,15,745,574
189,92,459,440,403,422,4,16,770,66598
189,94,3,3,3,3,4,19,1066,880
190,92,5,6,5,6,3,15,924,2525
