5,3,2,1,1,1,1,2,5,66
5,3,4,3,4,3,1,2,5,133
5,3,5,3,5,3,1,2,5,48
6,3,5,7,5,7,1,3,7,123
7,4,2,1,1,1,1,3,9,77
8,4,2,1,1,1,1,4,12,123
8,4,3,3,3,3,1,4,12,4
9,5,2,1,1,1,1,4,14,56
9,5,3,3,3,3,1,4,14,57
9,5,5,3,5,3,1,4,14,3
9,5,6,7,6,7,1,4,14,10
9,5,7,3,7,3,2,3,12,73
10,5,7,10,5,7,1,5,18,107
11,6,2,1,1,1,1,4,18,5
11,6,7,6,7,6,2,4,17,93
12,6,6,7,6,7,2,6,26,3
12,6,7,10,7,10,1,6,23,123
12,7,5,3,5,3,1,6,27,11
13,6,4,3,4,3,2,6,25,4
13,7,2,1,1,1,1,5,24,63
13,7,2,1,1,1,1,6,27,1
13,7,2,1,1,1,2,4,21,89
13,7,2,1,1,1,2,5,23,1
13,7,3,3,3,3,1,6,27,168
13,7,9,13,9,13,2,5,23,141
14,6,2,1,1,1,1,8,33,11
14,7,3,3,3,3,1,7,29,13
14,7,4,3,4,3,1,7,32,95
15,7,3,3,2,3,2,8,37,225
15,7,4,3,4,3,2,7,31,112
15,8,2,1,1,1,1,6,32,1
15,8,2,1,1,1,1,7,35,1
15,8,2,1,1,1,2,5,28,61
15,8,2,1,1,1,2,6,30,94
16,8,3,3,3,3,1,7,38,29
16,8,3,3,3,3,1,8,42,8
16,8,4,3,4,3,1,8,41,193
16,8,8,10,8,10,1,7,38,126
17,8,12,11,11,11,1,9,45,240
17,8,2,1,1,1,1,9,42,2
17,9,5,3,5,3,2,6,34,17
17,9,9,10,9,10,1,6,36,3
18,10,5,7,5,7,2,8,47,153
18,9,3,2,3,2,2,6,39,192
18,9,4,6,4,6,1,8,47,485
18,9,7,7,7,7,1,8,41,26
19,10,4,3,4,3,1,9,54,10
20,10,7,13,6,13,2,7,46,12
20,11,4,3,4,3,2,8,52,5
21,11,2,1,1,1,1,9,57,13
21,11,3,3,3,3,2,6,45,350
22,11,2,1,1,1,2,8,50,6
22,11,4,3,4,3,2,8,51,74
23,11,4,3,4,3,1,8,60,100
23,12,2,1,1,1,1,7,57,60
23,12,2,1,1,1,2,9,61,13
24,12,3,3,3,3,1,11,74,20
25,12,13,18,11,12,1,7,61,414
25,13,2,1,1,1,2,8,60,262
26,13,5,6,5,6,2,10,70,8
28,13,22,9,1,1,2,9,70,741
28,14,2,1,1,1,2,10,78,6
28,14,2,1,1,1,2,10,80,40
29,15,3,3,3,3,1,9,83,12
30,14,14,22,11,16,3,10,85,51
30,15,4,3,4,3,2,10,90,370
30,16,2,1,1,1,2,10,91,59
30,16,4,3,4,3,1,11,97,133
31,15,3,3,3,3,1,11,93,205
31,15,4,3,4,3,2,9,81,18
31,15,6,7,6,7,2,10,83,22
31,16,2,1,1,1,1,8,83,123
31,16,2,1,1,1,2,8,79,124
32,16,3,3,3,3,2,11,106,22
33,16,2,1,1,1,2,12,101,2
33,16,3,3,3,3,2,9,92,503
33,17,2,1,1,1,1,10,100,363
33,17,4,3,4,3,1,11,108,336
34,16,4,6,4,6,2,12,103,521
36,18,2,1,1,1,2,13,119,89
37,18,10,7,8,7,1,15,161,302
37,18,8,16,1,1,3,8,99,887
37,19,3,3,3,3,1,14,136,50
37,19,6,7,6,7,2,10,108,14
38,18,3,3,1,1,4,14,176,9
38,18,4,3,4,3,2,13,126,229
38,19,6,3,6,3,2,13,125,6
38,19,9,7,9,7,2,13,139,143
39,18,3,3,3,3,1,10,114,755
39,18,5,3,5,3,2,11,116,351
39,19,4,3,4,3,2,13,145,221
39,19,4,6,4,6,2,14,163,72
40,17,5,6,3,6,3,11,132,228
40,18,2,1,1,1,4,15,164,80
40,20,11,17,11,17,2,10,125,85
41,18,1509,126,476,153,2,12,130,91883
41,20,6,7,6,7,2,12,132,720
42,20,2,1,1,1,1,17,193,3
42,20,4,3,4,3,1,14,146,12
